"","imdb","iw","original_title","year","genre","country","language","description","avg_vote","votes","budget","log_budget","usa_gross_income","log_usa_gross_income","worldwide_gross_income","log_worldwide_gross_income","metascore","reviews_from_users","reviews_from_critics","ope","con","ext","agr","neu","age","gender","relation","duration","genre_family","genre_fantasy","genre_sport","genre_biography","genre_crime","genre_romance","genre_animation","genre_music","genre_comedy","genre_war","genre_sci.fi","genre_horror","genre_western","genre_thriller","genre_mystery","genre_drama","genre_action","genre_history","genre_documentary","genre_musical","genre_adventure"
"4317","tt0289765","0","Red Dragon",2002,"Crime, Drama, Thriller","Germany, USA","English, French","A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter.",7.2,246522,7.807,2.05502076713815,93149898,18.3497205600032,209196298,19.1587835940138,60,797,200,0.4335,0.0089,-0.3358,-0.432,-0.0251,23.8926,0.5831,0.4492,124,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"4318","tt0289848","0","Analyze That",2002,"Comedy, Crime","USA","English","Mobster Paul Vitti is released into Dr. Ben Sobol's care, where only more chaos ensues.",5.9,81387,NA,NA,32130627,17.2853202453741,55003135,17.8229007415723,37,148,98,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4319","tt0289879","0","The Butterfly Effect",2004,"Drama, Sci-Fi, Thriller","USA, Canada","English","Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",7.6,444298,1.307,0.267734434642085,57938693,17.8748959922326,96822421,18.3883891473274,30,1188,179,0.4259,-0.2353,-0.1414,-0.1734,-0.0583,21.9187,0.6478,0.4626,113,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"4320","tt0289992","0","The Life of David Gale",2003,"Crime, Drama, Thriller","USA, Germany, UK, Spain","English, Spanish","A man against capital punishment is accused of murdering a fellow activist and is sent to death row.",7.6,107612,NA,NA,19955598,16.8090202634427,38955598,17.4779330426753,31,445,140,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4321","tt0290002","0","Meet the Fockers",2004,"Comedy, Romance","USA","English, Spanish, Hebrew","All hell breaks loose when the Byrnes family meets the Focker family for the first time.",6.3,249128,807,6.69332366826995,279261160,19.4476579593048,522657936,20.0744377659854,41,441,138,0.0339,-0.0953,-0.0735,-0.0624,-0.0052,22.6937,0.6812,0.429,115,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4322","tt0290095","0","The Tuxedo",2002,"Action, Comedy, Sci-Fi","USA","English, Cantonese","A hapless chauffeur must take a comatose Secret Agent's place using his special gadget-laden tuxedo.",5.4,78085,NA,NA,50547998,17.7384338982944,104391623,18.4636599907299,30,216,90,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4323","tt0290210","0","Max",2002,"Drama, War","Hungary, Canada, UK","English","A film studying the depiction of a friendship between an art dealer named Rothman and his student, Adolf Hitler.",6.5,6909,NA,NA,539879,13.199100319358,660763,13.4011505068852,56,87,74,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4324","tt0290212","0","Full Frontal",2002,"Comedy, Romance","USA","English","A day in the life of a group of men and women in Hollywood, in the hours leading up to a friend's birthday party.",4.7,9402,NA,NA,2512846,14.7369265333109,3438804,15.0506342944782,45,168,108,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4325","tt0290329","0","Bijitâ Q",2001,"Comedy, Drama, Horror","Japan","Japanese","A troubled and perverted family find their lives intruded by a mysterious stranger who seems to help find a balance in their disturbing natures.",6.6,14838,NA,NA,NA,NA,15678,9.66001373474867,NA,119,81,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4326","tt0290334","1","X2",2003,"Action, Sci-Fi, Thriller","Canada, USA","English, German, Italian, Spanish","When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",7.4,504086,NA,NA,214949694,19.1859145773187,407711549,19.8260704945896,68,1104,166,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4327","tt0290673","0","Irréversible",2002,"Crime, Drama, Mystery","France","French, Spanish, Italian, English","Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass.",7.4,116690,NA,NA,792200,13.58256916417,6479328,15.6841273592472,51,724,208,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4328","tt0291172","0","Le fils",2002,"Drama, Mystery","Belgium, France","French","A joinery instructor at a rehab center refuses to take a new teen as his apprentice, but then begins to follow the boy through the hallways and streets.",7.6,8830,NA,NA,70262,11.1599863911135,1057439,13.8713605050237,86,75,90,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4329","tt0291341","0","Mean Machine",2001,"Comedy, Crime, Drama","UK, USA","English","A football star jailed for assault leads a group of inmates in a match against prison guards.",6.5,35270,NA,NA,92770,11.4378785906473,7310206,15.8047820119035,45,88,57,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4330","tt0291350","0","Sennen joyû",2001,"Animation, Drama, Fantasy","Japan","Japanese, English","A TV interviewer and his cameraman meet a former actress and travel through her memories and career.",7.9,22474,NA,NA,262891,12.4794947765831,262891,12.4794947765831,70,74,77,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4331","tt0291376","0","Nayak: The Real Hero",2001,"Action, Drama, Thriller","India","Hindi","A man accepts a challenge by the chief minister of Maharashtra to run the state for one day, and makes such a success of it that soon he is embroiled in political intrigue.",7.8,13859,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,NA,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
